GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AJWME001,NAME_M,AJWMM001
"G0500150","2014-2018",,,"Arkansas","05","Carroll County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carroll County, Arkansas",27887,"Carroll County, Arkansas",0
"G0500170","2014-2018",,,"Arkansas","05","Chicot County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chicot County, Arkansas",10826,"Chicot County, Arkansas",0
"G0500190","2014-2018",,,"Arkansas","05","Clark County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clark County, Arkansas",22385,"Clark County, Arkansas",0
"G0500210","2014-2018",,,"Arkansas","05","Clay County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Arkansas",15061,"Clay County, Arkansas",0
"G0500230","2014-2018",,,"Arkansas","05","Cleburne County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleburne County, Arkansas",25230,"Cleburne County, Arkansas",0
"G0500250","2014-2018",,,"Arkansas","05","Cleveland County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleveland County, Arkansas",8226,"Cleveland County, Arkansas",0
"G0500270","2014-2018",,,"Arkansas","05","Columbia County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Columbia County, Arkansas",23892,"Columbia County, Arkansas",0
"G0500290","2014-2018",,,"Arkansas","05","Conway County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Conway County, Arkansas",20906,"Conway County, Arkansas",0
"G0500310","2014-2018",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Craighead County, Arkansas",105701,"Craighead County, Arkansas",0
"G0500330","2014-2018",,,"Arkansas","05","Crawford County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crawford County, Arkansas",62472,"Crawford County, Arkansas",0
"G0500350","2014-2018",,,"Arkansas","05","Crittenden County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crittenden County, Arkansas",49013,"Crittenden County, Arkansas",0
"G0500370","2014-2018",,,"Arkansas","05","Cross County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cross County, Arkansas",16998,"Cross County, Arkansas",0
"G0500390","2014-2018",,,"Arkansas","05","Dallas County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dallas County, Arkansas",7432,"Dallas County, Arkansas",0
"G0500410","2014-2018",,,"Arkansas","05","Desha County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Desha County, Arkansas",11887,"Desha County, Arkansas",0
"G0500430","2014-2018",,,"Arkansas","05","Drew County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Drew County, Arkansas",18502,"Drew County, Arkansas",0
